Company Name,Headquarters,Business Model,Founding Date,Number of Employees,Core Team / Founders
Niumatrix Digital LLP,"Bengaluru, Karnataka, India",B2C,2024,<10,Shivkumar Pandey:null
BestBedtimeStory,"Ryomgard, Arhus, Denmark",B2C,2024,<10,Rune Breinholt Andersen:https://www.linkedin.com/in/runebreinholtandersen/
iRealty247,"Ahmedabad, Gujarat, India",B2C,2023,11 to 20,Jigish Jain:null
A1 Skills & Technical Training Center Pvt. Ltd.,"Delhi, Delhi, India",B2C,2024,<10,Shamim:null
Lougao LLC,"New Castle, Delaware, United States of America",B2B,2024,<10,Jagger:null
DSS International,"Ghaziabad, Uttar Pradesh, India",B2C,1986,11 to 20,Sumit Kumar:null
SRP Crane Controls (India) Pvt ltd,"Rajkot, Gujarat, India",B2B,2017,21 to 40,Kushalkumar K:https://www.linkedin.com/in/kushalkhanpara/
Arya Homeopathy Clinic,"Jaipur, Rajasthan, India",B2C,2000,<10,Dr. Bhupendra Arya:null
Aryan Home Decor,"Vadodara, Gujarat, India",B2C,2013,11 to 20,null
Custom Boxes Canada,"Ontario, California, United States of America",B2B,1998,61 to 100,Sofia Alice:null
Impactful Media,"Varanasi, Uttar Pradesh, India",B2B,2023,<10,Aditya Gupta:https://www.linkedin.com/in/aditya-gupta-b36121257?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app
Botdog,"San Francisco, California, United States",B2B,2024,<10,Nick Frost:https://www.linkedin.com/in/1m-followers/
The Feb30,null,B2B,2020,null,Ashiv Tatolu:https://www.linkedin.com/in/ashivtatolu/
null,"Karachi, Sind, Pakistan",B2B,2020,<10,Muhammad Muzzammil:https://www.linkedin.com/in/muhammad-muzzammil-abrar/
Arja Technologies Private Limited,"Gurgaon, Haryana, India",B2C,2023,11 to 20,Arushi jain:https://in.linkedin.com/in/arushijain2014
KUAVA Digital LLP,"Gwalior, Madhya Pradesh, India",B2B2C,2023,<10,"Vaishnavi Sharma:https://www.linkedin.com/in/vaishnavithisside/, Ojas Tripathi:https://www.linkedin.com/in/ojas1999tripathi/"
Inncircles Technologies Pvt Ltd,"Hyderabad, Telangana, India",B2B,2019,151 to 250,"Chandra Sekhar Babu Vasireddy:https://www.linkedin.com/in/chandrainncircles/, Srikanth Bangare:https://www.linkedin.com/in/srikanthsagarbangaru/"
Qikberry Technologies Private Limied,"Chennai, Tamil Nadu, India",B2B,2018,21 to 40,"Rajesh Badrachalam:https://www.linkedin.com/in/rajesh-badrachalam-b586a520/, Siva Radhakrishnan:https://www.linkedin.com/in/siva-radhakrishnan-67131431/, Sakthivel Malligarjunan:null"
Complyance Solutions Sdn Bhd,"Kuala Lumpur, Kuala Lumpur, Malaysia",B2B,2024,21 to 40,"Hari Krishnan:https://www.linkedin.com/in/harikrishnan98/, Meiyappan M M:https://www.linkedin.com/in/meiyappanmm/"
Indian Inovatix Ltd.,"Ahmedabad, Gujarat, India",B2B,1976,251 to 500,Avneet Antrutkar:null
